,a(0),a(1),a_std,a_subj(0).P10,a_subj(0).P11,a_subj(0).P12,a_subj(0).P13,a_subj(0).P9,a_subj(1).P10,a_subj(1).P11,a_subj(1).P12,a_subj(1).P13,a_subj(1).P9,v(0),v(1),v_std,v_subj(0).P10,v_subj(0).P11,v_subj(0).P12,v_subj(0).P13,v_subj(0).P9,v_subj(1).P10,v_subj(1).P11,v_subj(1).P12,v_subj(1).P13,v_subj(1).P9,t,t_std,t_subj.P10,t_subj.P11,t_subj.P12,t_subj.P13,t_subj.P9,sv,sz,st,z_trans,z_std,z_subj_trans.P10,z_subj_trans.P11,z_subj_trans.P12,z_subj_trans.P13,z_subj_trans.P9,p_outlier,dbs_coeff,dbs_coeff_std,dbs_coeff_subj.P10,dbs_coeff_subj.P11,dbs_coeff_subj.P12,dbs_coeff_subj.P13,dbs_coeff_subj.P9
10,1.957726760490945,1.6106245950408815,0.9985064426100481,1.263442561909595,1.5827752830179198,2.4120115181153503,1.6201109186344418,2.610519590258572,1.7428017898538983,2.9689951235031486,4.881179308601357,1.9384373721322685,4.5082449100748505,4.369530645198835,3.5712084931593258,0.9022690323645447,5.251729439173602,3.502438355586812,4.085607942384991,5.207020377055013,4.857352626618698,3.757389277978803,2.9369164865919326,4.561681009461664,2.2617850175842955,4.887727359575696,0.4651515047436455,0.1301193544812635,0.501823283100481,0.3872329274825566,0.47128365475923795,0.6169060370233628,0.3765209979964568,0.8074453798639027,0.18288146919327633,0.10115616969703745,-0.5627065085393974,0.06904139249364048,-0.47476037410577615,-0.6004294828206334,-0.6278527824298782,-0.4594161733310777,-0.5093261774707637,0.01438174206761706,1.2486546734723025,0.5179703749811808,1.45178165348237,0.39620530536333587,2.325837115238889,1.173030237459824,1.0434001570598215
11,1.7301694273356891,2.187159748273575,1.010778075634212,1.399315881680531,1.6148527208304406,2.365059804361714,1.635340461873179,2.4440764936102592,1.7510759853630407,2.8818963694059976,4.912250578254544,2.055198548507748,4.525160467368882,4.625551775454174,4.095907070857862,0.5979582370622307,4.903686434317721,4.137163589210776,4.212374579825475,5.208928401546919,4.685493143163943,3.6169610672345214,3.0410333198533874,4.546916376962081,2.5939978442945066,5.148139281353773,0.4920076775071117,0.09691140388864508,0.4898236405773986,0.38782623302204494,0.4719388387132348,0.6140883916139774,0.38471517735853433,0.8474669893390128,0.13358084056754554,0.10793915435283168,-0.548413309010977,0.03779733531320296,-0.5105296321045995,-0.5797452970808878,-0.6077951497198857,-0.5451037867071377,-0.47032732990955645,0.012787466536935983,1.3501334312945548,0.8778224979510304,1.7737626062383092,0.6664089557542949,2.1915604286941486,1.0170457513075837,0.9717784724864487
12,1.7529660426809264,3.3104442866974866,0.7665527744615409,1.361629855589058,1.9148060814105579,2.4010053401146574,1.786982415025594,2.1887638562635994,1.735935286461525,3.1275413732806006,4.810456308285341,2.4835448740031274,4.521937342832663,5.01488556186771,4.101780177455956,0.6829238080448236,5.070613715875229,4.409792999022541,4.176753511572673,5.325159403379551,4.567553660858572,3.6297329173894,2.8840096255131633,4.534421168374241,2.9130660840614495,5.348169710169609,0.47189948933103626,0.09008046732279928,0.48890879875356813,0.3734953494532552,0.46894530014365376,0.6128557871853899,0.4001166762393791,0.9257748080167256,0.18485515419420342,0.10049685928329953,-0.5674718538832592,0.036482376201952826,-0.5375055220661364,-0.5868730195592915,-0.6120358617421781,-0.5383125769383642,-0.5342497190978321,0.01118014947870806,1.0516956101000485,0.43375916115239954,1.6933778989140158,0.8823818188114091,1.9323692135494661,0.8976014249969939,1.4271995868645468
13,2.4649194375778727,1.7529994149453336,1.3392220586457868,1.2928087305490468,2.2003582076773434,2.49972312475231,1.6569549530924736,2.0887602086009904,1.8929276021783983,3.144094717501021,4.815307353393137,2.4566644432763964,4.544555749995442,4.556402309241187,3.952213104114404,0.718339708923765,5.128437587069044,4.778673756212329,4.469198064330376,5.09344564792824,4.175190675795037,3.9576319848761385,2.962077664486597,4.520787130215763,3.7564725911037735,5.559126582794058,0.4590103779312073,0.05598290764872087,0.4941596564447095,0.36011614959849586,0.4696283689159208,0.6154551266025949,0.4048903017979463,1.0250812883029496,0.04040112857363308,0.1244692032936385,-0.5855431055650218,0.03340424325595869,-0.5438256431138039,-0.5925904127761756,-0.6336984584399229,-0.5468167799777999,-0.5687986547485452,0.013606764026423707,1.3274680407808965,0.3631013664343047,1.719911976089449,0.8417242103479721,2.116668385251536,0.37663215189122523,1.3994659514719956
14,1.939808900644349,3.115257335493921,1.4229100404714887,1.2620394932616905,2.0484319178009804,2.479395856192863,1.6393966281453478,2.0325598903569193,1.8964305310804772,3.027765118684017,4.832869684475188,2.36605600802762,4.406671804556797,4.4069185617211275,3.9876139530115604,0.6856065419740924,4.997093996293419,4.836701038388841,4.458389436636173,4.693206861348651,4.285147567164391,4.7177526767289315,2.89946733043225,4.449721822026225,3.276216908746526,5.599925254849004,0.4432567286842839,0.07854427541965184,0.501178269627885,0.3808608467947216,0.4620212435840539,0.6003653107990268,0.40193963605042154,1.0756418907222227,0.11172158078240045,0.124337293467189,-0.5723925757255429,0.054348682295561515,-0.5092689720913629,-0.5792941388909987,-0.5514394010162418,-0.5612947432869387,-0.5708249348042729,0.01609003093200458,1.4532510634161333,1.1528010514600713,1.4707232449696108,0.9209002900154044,1.9806206525249461,0.2541389717741137,1.4206233924390432
15,1.7388412361558505,3.326819832284965,1.2234690899363503,1.2532524049726876,2.1437062659360464,2.608108731453103,1.5076654891031227,2.2627021954645867,1.8319623213809217,2.9860954307959204,4.719916539141227,2.0587559411118193,4.353715921751599,4.6431653565827515,4.5508883309657016,0.7104694010973768,5.029414176825227,5.310958924018112,4.505120190773444,4.7916710249248995,4.496253501099037,4.482003730385989,3.0185029664826297,4.24307747308503,2.9710680707760027,5.478148482683777,0.4625271520686148,0.08587532806476,0.49560157432522584,0.3891583627472956,0.4746032563623313,0.6103664896377113,0.402637601419748,1.0772259615272755,0.034646033439067046,0.12831132504540982,-0.5661827091507239,0.041588318185832474,-0.6374293405842422,-0.5981249155254891,-0.5634225908900101,-0.5402799506075445,-0.6769808570249785,0.012519761323649327,1.780682340369471,0.9738286009772891,1.7827151759640554,0.7803056836580301,1.764262544894612,0.15918103627837005,1.3637706085588794
16,1.2767480463629264,3.3153984424347938,1.2685169360625712,1.1768629411809048,2.1178309302140392,2.6487815827687813,1.4799473304682604,2.3954512281450655,1.6941604828471382,3.048181771662721,4.833065610416124,2.0012478524515216,4.159080000100719,4.814368795146869,3.8817157133336377,0.5969609628694842,5.153414887170642,5.460852374368577,4.448962793713406,5.453736991511829,4.52136285848373,4.243468471163071,2.9762259816362726,4.168335295029998,3.218961781514798,4.788191167535311,0.4870639012135233,0.11296709333740582,0.5041994875051178,0.3910342259649512,0.47572665217580673,0.6237855179683679,0.4054977984661431,1.0116285215400271,0.1007153765255132,0.13801990267455538,-0.5773820781151833,0.052085282382343334,-0.6651804894710074,-0.6133291988751464,-0.5320449294064871,-0.5864019563195321,-0.4914565299478503,0.014535825435649814,1.136060590964348,0.8241611387974486,1.7823274145100272,0.651373679153235,2.427263911879841,0.11628337871276848,1.352391907555345
17,1.758194891479203,3.3098654906775664,1.1863125956601406,1.1376972429584344,2.163193995308888,2.643066259083412,1.5332894397170622,2.3342986438937112,1.7232345903940292,3.0353401134520466,4.861822269120613,2.154884077835908,4.434996294290655,4.590012613221197,3.622065538007906,0.7865542280055016,4.857116020163691,5.211577374139489,4.586944267081782,5.180771577443689,4.529239296308851,4.228525628804854,3.0900197964098677,4.299024328152502,3.3485682933464336,4.992538462763974,0.37145368497221865,0.10551058135396159,0.5080212356734185,0.3928869661236221,0.4764687957469636,0.6189451836870534,0.4035383936900599,0.9866506399165352,0.10381744733486221,0.14249251432697357,-0.576434907931812,0.06200493638608525,-0.6347054393820036,-0.5182985841499728,-0.6250150304646709,-0.6397481440175343,-0.500591174280777,0.015116521801158368,1.7189794195838337,0.5435707953725359,1.3905768094443638,0.5226248628233099,2.3966806789196706,0.4692187564394814,1.415964398593717
18,2.23309364824289,2.0712237435235807,0.7112238147939395,1.2315268254088656,1.9826564581416917,2.4604469738033483,1.6173044256263402,2.296463086115706,1.823151563020535,2.99143975616708,4.970614551281198,2.0821285151783915,4.146990913514088,4.65980911946488,3.5639151927607986,0.8809073760965556,5.245119881195325,4.8699301029972215,4.625365909572357,5.096916186696093,4.738551479276992,4.405010245931212,2.870552530239605,4.419910560755641,3.0676189106767966,5.332260491231501,0.5179480401564641,0.09060938552640502,0.5057068355757616,0.39581652986150484,0.4807967682301764,0.6074343552172206,0.4139620432659624,1.1666477075899198,0.08118336694064596,0.11955113954099614,-0.5802107334935226,0.044506229085106055,-0.5953065943238223,-0.5204242639187379,-0.6307308216516492,-0.6331634035859512,-0.5083904492088467,0.011051253816779065,1.5940580495015275,2.244326394253177,1.6713025132613746,0.538863958509506,2.748249740819915,0.09551658209363828,1.400884454166325
19,2.442268521824638,2.8233250821508102,1.3664156083767338,1.2403143313887786,1.9506716476242305,2.4885500574895256,1.6177821793198301,2.4031096853032703,1.754800595644563,3.150623065864529,5.015079187130542,2.1942432958740197,4.2165817170272355,4.844836625955098,3.9678104293823253,0.6619372772326385,5.1850436795603,5.449502760022358,4.43013645306526,4.943103400075389,5.107798365136324,3.954232817665676,3.46266376793909,4.593133191488848,3.2059132466793416,5.299180319884976,0.5489619133084791,0.10351183295432173,0.5021165015716847,0.40486081579625227,0.48660325573070573,0.5950340689350297,0.41751829279530156,1.1049650751218216,0.24634352615508642,0.12129639878904981,-0.5661426670361251,0.03442136448484315,-0.5683988791905552,-0.5866557098339599,-0.6163868798396694,-0.5894482831285264,-0.6122296838653859,0.015433818213350084,1.4405538233565753,2.618447959326562,1.659882029774784,0.19128063313027688,2.6111433406625353,0.043997025612900975,1.2735336402784456
